time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1778182354557580800,0.530580810546875,1.0267709170877761,0.01353995967656374,0.48717462399769096,0.005558089353144169,-1.6921697923105524e-17,0.8696456127315134,0.07865109469996695,left,-0.393635630607605,-0.13934483351691515,8.309553831434249,-5.026569686874747,-0.07985685569878043,0.002455577254295349,-1.1287962198257446,1.362088270922005,0.1942782700061798
1778182354577580800,0.550580810546875,0.5278593703298502,0.012124937027692795,0.2690829834399837,0.013722730800509453,-0.11812083111013388,0.9459868345317409,-0.15892008634816898,left,-0.09171122312545776,-0.3285196442127333,4.675307687008381,-8.018774065059423,-0.13693297509305208,0.0017552056815475225,-0.757614254951477,3.1640394929662343,0.010426610708236694
1778182354597580500,0.57058056640625,-0.024599253625894685,0.01070991437882185,0.03199341534171465,0.02188737317919731,-0.2279021464686245,0.9555392080036448,-0.4729399440357257,left,0.017395377159118652,-0.37564597708497244,-0.2243924187590368,-9.120079940724372,-0.18434136465350584,0.0010548342252150178,-0.25739189982414246,3.5978009123429655,-0.033908575773239136
1778182354617580500,0.59058056640625,-0.2975730092194761,0.0028494407888501883,-0.08771500949292015,0.025266136974096298,-0.2770554237164049,0.9350140353299589,-0.6272482139116302,left,-0.002135038375854492,-0.33779507553170174,-2.712826588051021,-8.84581642486453,-0.2032116119244664,-0.001235505798831582,-0.0024817585945129395,3.249998697541654,-0.0022746622562408447
1778182354637580500,0.61058056640625,-0.2972904568445366,-0.005295752547681332,-0.08757943349323757,0.013606109656393528,-0.2771022251757917,0.9350213143485617,-0.6272864330817969,left,-0.000024080276489257812,-0.3377926036450057,-2.71032951053828,-8.846590331846475,-0.20317299408856843,0.004010459408164024,-0.002941310405731201,3.2499759011879563,-0.0025750398635864258
1778182354657580500,0.63058056640625,-0.30001892537626546,-0.015450209379196167,-0.08894658034383311,0.005089168902486563,-0.2775790881735922,0.9347951752100171,-0.6286146043188601,left,-0.0008341670036315918,-0.3363975335492163,-2.735794206662476,-8.84348476704657,-0.20296858866835285,-0.0010155529016628861,0.0028741955757141113,3.237064689427614,0.00017943978309631348
1778182354677580500,0.65058056640625,-0.2996648248521652,-0.016429616138339043,-0.0888472693336445,0.004207104444503784,-0.2777297756524329,0.934818753316537,-0.6287585527849777,left,-0.00040525197982788086,-0.3359006105712794,-2.7331369701519606,-8.845988858821988,-0.2026973920609725,0.0011634606635197997,0.0024057626724243164,3.2324645021557807,0.001101166009902954
1778182354697580500,0.67058056640625,-0.29931070004900995,-0.01740902289748192,-0.08874795832345561,0.0033250399865210056,-0.27788033810690216,0.9348421903697386,-0.6289024416584144,left,0.000023424625396728516,-0.3354037731209602,-2.7304776878148314,-8.848490027987957,-0.20242619545359303,0.0033424743451178074,0.0019371211528778076,3.2278640226230024,0.0020228922367095947
1778182354717580500,0.69058056640625,-0.2997514829864869,-0.012506132945418358,-0.0889702569683549,0.0019873406272381544,-0.2780700454535319,0.934783680003599,-0.6293291018713125,left,-0.0003662109375,-0.3350382988229859,-2.734725700648129,-8.848411702054738,-0.20233839888657393,0.004087126348167658,0.00269162654876709,3.2244793486207723,0.004564046859741211
1778182354737580500,0.71058056640625,-0.29907093401860535,0.0020010112784802914,-0.08865281769756488,0.0014392446028068662,-0.278132221058439,0.9348154651093543,-0.6293157188035919,left,-0.00028908252716064453,-0.33504261808369185,-2.7286992799654604,-8.850257622182369,-0.2022451718143788,0.0001399077009409666,0.0018093287944793701,3.224519388370216,0.0045087337493896484
